Public Health Unit,Outbreak Case Count,"Outbreak Case Rate per 100,000 Population",Change in Outbreak Case Count Since Previous Data Extraction,Last Rash Onset Date Among Outbreak Cases,Non-Outbreak Case Count
Algoma Public Health,151 (6.4%),127.8,0,"July 15, 2025",0 (0.0%)
Chatham-Kent Public Health,179 (7.5%),164.3,0,"July 24, 2025",0 (0.0%)
City of Hamilton Public Health Services,1 (0.04%),0.2,0,"March 22, 2025",3 (5.6%)
Durham Region Health Department,0 (0.0%),0.0,0,N/A,0 (0.0%)
Eastern Ontario Health Unit,6 (0.3%),2.7,0,"May 16, 2025",0 (0.0%)
Grand Erie Public Health,299 (12.6%),101.4,0,"July 3, 2025",0 (0.0%)
Grey Bruce Health Unit,54 (2.3%),28.7,0,"July 8, 2025",0 (0.0%)
Haliburton Kawartha Northumberland Peterborough Health Unit,2 (0.1%),0.6,0,"June 5, 2025",2 (3.7%)
Halton Region Public Health,2 (0.1%),0.3,0,"May 7, 2025",4 (7.4%)
Huron Perth Public Health,297 (12.5%),190.2,0,"July 25, 2025",0 (0.0%)
Lambton Public Health,20 (0.8%),14.8,0,"May 19, 2025",0 (0.0%)
Middlesex-London Health Unit,55 (2.3%),9.9,0,"July 17, 2025",2 (3.7%)
Niagara Region Public Health,13 (0.5%),2.5,0,"May 24, 2025",0 (0.0%)
North Bay Parry Sound District Health Unit,38 (1.6%),28.5,0,"June 8, 2025",0 (0.0%)
Northeastern Public Health,20 (0.8%),17.0,0,"May 13, 2025",0 (0.0%)
Northwestern Health Unit,0 (0.0%),0.0,0,N/A,0 (0.0%)
Ottawa Public Health,3 (0.1%),0.3,0,"August 9, 2025",9 (16.7%)
Peel Public Health,1 (0.04%),0.1,0,"May 4, 2025",7 (113.0%)
Public Health Sudbury & Districts,44 (1.9%),20.9,0,"August 21, 2025",0 (0.0%)
Region of Waterloo Public Health and Emergency Services,111 (4.7%),16.4,0,"June 2, 2025",2 (3.7%)
Renfrew County and District Health Unit,3 (0.1%),2.7,0,"July 6, 2025",0 (0.0%)
Simcoe Muskoka District Health Unit,1 (0.04%),0.2,0,"March 30, 2025",3 (5.6%)
South East Health Unit,80 (3.4%),13.6,0,"April 14, 2025",1 (1.9%)
Southwestern Public Health,771 (32.5%),325.3,0,"August 12, 2025",0 (0.0%)
Thunder Bay District Health Unit,0 (0.0%),0.0,0,N/A,1 (1.9%)
Toronto Public Health,2 (0.1%),0.1,0,"May 17, 2025",7 (13.0%)
Wellington-Dufferin-Guelph Public Health,71 (3.0%),20.8,0,"June 8, 2025",1 (1.9%)
Windsor-Essex County Health Unit,149 (6.3%),33.3,0,"July 27, 2025",1 (1.9%)
York Region Public Health,2 (0.1%),0.2,0,"July 29, 2025",11 (20.4%)
